4.734997202	4.051820077	30.33523263
6.099276392	4.782034987	28.15740962
7.482296625	5.47609649	26.64954786
8.883394842	6.132904828	25.11629492
10.29788295	6.760441814	23.92444522
11.71619305	7.379312209	23.57373705
13.14361626	7.97678239	22.71250608
14.58215640	8.54702508	21.62355958
16.02702827	9.10104088	20.9786189
17.47810860	9.63858199	20.32674602
18.93530419	10.15931845	19.66461495
20.39832081	10.66346994	19.01380986
21.86686966	11.15127283	18.37476417
23.34061629	11.62314145	17.7541823
24.81920571	12.07961058	17.15646792
26.30230324	12.52121447	16.58131183
27.78966885	12.94822260	16.01825505
29.28115522	13.36060693	15.45570602
30.77661967	13.75832351	14.89299607
32.27591952	14.14132789	14.33005344
33.77891198	14.50957511	13.76680654
35.28545415	14.86301962	13.20318068
36.79540955	15.20158541	12.63796897
38.30865614	15.52512293	12.06834233
39.82507064	15.83347092	11.49383084
41.34452585	16.12646742	10.91438156
42.86689050	16.40395001	10.32994641
44.39202918	16.66575594	9.740482086
45.91981253	16.91165733	9.143511721
47.45014675	17.14114596	8.528513742
48.98293323	17.35363564	7.89259097
50.51805468	17.54853750	7.235665739
52.05537431	17.72526100	6.557685864
53.59473506	17.88321517	5.858628967
55.13596328	18.02175831	5.136591399
56.67888726	18.13991268	4.37906217
58.22330636	18.23655915	3.580779323
59.76897415	18.31057125	2.74143254
61.31559547	18.36081835	1.860788111
62.86282362	18.38616941	0.938697271
64.41025834	18.38560294	-0.020974175
